date,no2_trop,co_trop
2024-02-24,0.00026692353146911624,
2024-02-25,,
2024-02-26,,
2024-02-27,8.186718709732378e-05,
2024-02-28,9.415435332339128e-05,0.0382489166482
2024-02-29,0.00011709304825953032,0.038650658886943
2024-03-01,,
2024-03-02,,
2024-03-03,0.00015700375661253937,
2024-03-04,0.0001600727723364437,0.0373332001305931
2024-03-05,7.471934764848685e-05,0.0347927324473859
2024-03-06,0.00014234374058549364,
2024-03-07,0.00012209789613426453,0.0333136549564002
2024-03-08,0.0001267722402644436,0.0377702863546932
2024-03-09,,0.0390863065506854
2024-03-10,6.739981105493027e-05,
2024-03-11,0.00017888793230688834,
2024-03-12,9.309432248353898e-05,
2024-03-13,0.00018819453216026527,
2024-03-14,8.534164124872764e-05,
2024-03-15,8.127201528113854e-05,0.0337158553302289
2024-03-16,0.0002231929945620043,0.0449960511575677
2024-03-17,0.00015071546032038055,0.0423465743771752
2024-03-18,0.0001449000850196634,0.0390625791577756
2024-03-19,0.00013822087541666197,
2024-03-20,6.798208778491248e-05,
2024-03-21,0.00011920753749293132,0.0472003014621438
2024-03-22,0.0001192260759200299,
2024-03-23,,
2024-03-24,,
2024-03-25,5.347160267584693e-05,0.0350395540230905
2024-03-26,4.085299401455875e-05,
2024-03-27,8.512410349869817e-05,0.0465940013460309
2024-03-28,0.00014005930472838895,0.0469493083655832
2024-03-29,0.0001902840714236721,0.0479183234274385
2024-03-30,0.00012265310821727102,0.0441108925425464
2024-03-31,0.00011471843126199987,
2024-04-01,6.803524870080163e-05,
2024-04-02,0.00010919724150019155,0.0375750897224183
2024-04-03,0.0003131941930011663,0.0451536362430678
2024-04-04,0.00014477164502762303,
2024-04-05,7.156658398611458e-05,
2024-04-06,7.740606696065566e-05,
2024-04-07,0.00010076281710116716,0.0391210827213955
2024-04-08,0.00012279772488111283,0.04537448185043
2024-04-09,0.0003671558535530944,0.0465303137898441
2024-04-10,0.0001302115083125285,
2024-04-11,0.0001393716665916129,0.0467785257228795
2024-04-12,0.00016197309405123256,
2024-04-13,0.0001820985625593466,0.053554850786241
2024-04-14,7.552912066251922e-05,0.0415219686695396
2024-04-15,,
2024-04-16,9.729599442400692e-05,
2024-04-17,9.358738878078106e-05,0.039070893079041
2024-04-18,0.000100731292292116,0.0399358100062726
2024-04-19,0.0001276112273525703,0.0360900300596603
2024-04-20,0.0001101177421500066,
2024-04-21,7.235943443218398e-05,
2024-04-22,0.00010612589186265977,
2024-04-23,9.780400633122197e-05,
2024-04-24,0.00011268613129779342,0.0465380011104855
2024-04-25,0.00013689435257986245,0.0385831780731664
2024-04-26,0.00018591267315046483,
2024-04-27,9.357941598863942e-05,0.0411278866231427
2024-04-28,0.00010005202172678138,0.0425872657104001
2024-04-29,0.00013951884312494422,0.0482666826520663
2024-04-30,0.0001485185550796735,0.0408051638336677
2024-05-01,0.00011384392291061776,0.0360501603482189
2024-05-02,8.942367268435783e-05,
2024-05-03,8.833839550774668e-05,
2024-05-04,0.0001920115859082352,0.0582276519361357
2024-05-05,0.0001295792209193282,0.0502604761744018
2024-05-06,0.00012860749878785798,0.0430746861992934
2024-05-07,0.0002026464244716688,
2024-05-08,0.00012909977382930628,
2024-05-09,0.00010699127027046492,0.0496618484185755
2024-05-10,0.00012701073864928024,0.0610641944386322
2024-05-11,0.00014196856080354696,0.0558843675452615
2024-05-12,0.00016819543247086215,0.0459629327096037
2024-05-13,0.0001591871227112902,
2024-05-14,0.00018086761567375883,0.0693484693765615
2024-05-15,0.00015862818910653012,0.0586811743668092
2024-05-16,0.00019522282106397887,0.0574969723820666
2024-05-17,0.0001896776941425145,0.0653661489486671
2024-05-18,0.0001778095830087084,
2024-05-19,9.48935625486708e-05,
2024-05-20,9.78124773136618e-05,0.0505476506498653
2024-05-21,0.00024146732947129696,0.0458991665516884
2024-05-22,0.00011261670103866288,
2024-05-23,0.00010023626564816789,
2024-05-24,0.00011505017429841944,0.0471178805676533
2024-05-25,0.00010179511611762474,0.0529957298806814
2024-05-26,9.791659285780978e-05,0.0434996290518012
2024-05-27,0.00020963041537034588,0.0619725330613773
2024-05-28,0.0001318267499504954,
2024-05-29,0.00013129137967436447,
2024-05-30,0.00011550025374162534,0.0434692501120935
2024-05-31,0.00013430399121716144,0.0445069633424266
2024-06-01,7.636966922517754e-05,0.0385133735835538
2024-06-02,0.00011057128787645856,0.0448661379352826
2024-06-03,0.0001204438522108788,
2024-06-04,9.9934504849363e-05,0.0429243368660886
2024-06-05,9.640751119473644e-05,0.040024701505898
2024-06-06,0.00017576497379650932,0.0443649801458904
2024-06-07,0.00014452791806364665,0.0344392587876574
2024-06-08,7.989055505624682e-05,
2024-06-09,7.587167513268282e-05,0.0356498071087191
2024-06-10,,0.0398922495082715
2024-06-11,0.00011765033508753636,0.0375980585813509
2024-06-12,0.00012631770451274147,0.0454781823387697
2024-06-13,0.0001038526189842324,
2024-06-14,6.954284586602744e-05,0.0384064744664194
2024-06-15,8.417959148007403e-05,0.0373582392930971
2024-06-16,7.179462885486595e-05,0.0380413685232925
2024-06-17,8.335702911675136e-05,0.0404780060052857
2024-06-18,7.79611656176787e-05,0.0408221972737802
2024-06-19,7.201234257081269e-05,0.0330246053636062
2024-06-20,,
2024-06-21,,
2024-06-22,,
2024-06-23,,0.0419365661038265
2024-06-24,,
2024-06-25,,0.0521049723042726
2024-06-26,,
2024-06-27,,0.0487014709563087
2024-06-28,,
2024-06-29,,
2024-06-30,5.316419169725569e-05,0.04626877158427
2024-07-01,,0.0481287089199958
2024-07-02,,
2024-07-03,,
2024-07-04,,
2024-07-05,,
2024-07-06,,
2024-07-07,,
2024-07-08,,
2024-07-09,,
2024-07-10,,
2024-07-11,9.122230403590626e-05,0.0404323196826853
2024-07-12,,
2024-07-13,9.863912319754405e-05,0.0477170722422607
2024-07-14,0.00011002301563712568,0.0395496001041244
2024-07-15,,
2024-07-16,4.529852594714451e-05,0.0372227669271909
2024-07-17,,0.040036273303279
2024-07-18,8.18459154421617e-05,0.03896607525256
2024-07-19,,
2024-07-20,,0.0403804286025461
2024-07-21,,
2024-07-22,,
2024-07-23,,
2024-07-24,0.00013931246926626815,0.0518919869122576
2024-07-25,8.083095839122915e-05,0.0401380658149705
2024-07-26,,
2024-07-27,,0.0391852861364309
2024-07-28,8.083950524450926e-05,
2024-07-29,5.298133453058719e-05,0.0385971450682719
2024-07-30,9.776505673879756e-05,0.0339914008739409
2024-07-31,,
2024-08-01,,0.0366237014532076
2024-08-02,,
2024-08-03,4.850099976048593e-05,0.0318206882281813
2024-08-04,,0.0362007057210712
2024-08-05,,0.0333082018677531
2024-08-06,5.360135123157029e-05,0.0382925584349697
2024-08-07,,0.0381443591885703
2024-08-08,,0.0360983984011148
2024-08-09,,0.0331857746837423
2024-08-10,,0.0365507103768802
2024-08-11,,
2024-08-12,,
2024-08-13,,0.0412808399189731
2024-08-14,,0.0404089269319957
2024-08-15,,0.0360951137896204
2024-08-16,,
2024-08-17,,0.038236155655731
2024-08-18,,
2024-08-19,5.9551142472397445e-05,0.033307885947469
2024-08-20,,
2024-08-21,0.00011542666594378284,0.0400436357029801
2024-08-22,5.9570891390262026e-05,0.0353070324716481
2024-08-23,,
2024-08-24,,0.0416931323707092
2024-08-25,6.018071872808154e-05,0.0345575849872888
2024-08-26,,
2024-08-27,,0.034654904083658
2024-08-28,,0.0377926093387205
2024-08-29,,
2024-08-30,8.440102582413605e-05,0.0392865199025427
2024-08-31,8.402845115036472e-05,0.0346579663455483
2024-09-01,,0.037537846714258
2024-09-02,,0.0374668951680595
2024-09-03,5.407554999692324e-05,0.0380557763246898
2024-09-04,,
2024-09-05,0.00011877581048067384,0.0396069947587252
2024-09-06,,
2024-09-07,0.00010451510123115628,
2024-09-08,,
2024-09-09,,0.0414996292739414
2024-09-10,9.572895119644282e-05,0.0360562818937177
2024-09-11,,
2024-09-12,,
2024-09-13,,0.0358318871097652
2024-09-14,,0.0338632846831532
2024-09-15,7.19410228696732e-05,0.0440360754728315
2024-09-16,7.057623545637286e-05,0.038132484513293
2024-09-17,7.716091352146458e-05,0.0448619472839388
2024-09-18,,
2024-09-19,,0.0383629973295817
2024-09-20,0.00012082656030543112,0.0360844992101191
2024-09-21,,0.0380437560379504
2024-09-22,8.577889840526422e-05,0.0390134081244469
2024-09-23,,0.0409989319802686
2024-09-24,,
2024-09-25,,0.0419345013682808
2024-09-26,0.0001010043141910464,0.0408592975456472
2024-09-27,,0.0345585133664998
2024-09-28,,0.0420895810257228
2024-09-29,,0.0391095504164695
2024-09-30,7.378140640200302e-05,0.0434672647306206
2024-10-01,9.963539965231788e-05,
2024-10-02,7.239077955534338e-05,0.0386655680029002
2024-10-03,0.0001162494117104681,
2024-10-04,0.00010900095367105724,0.0392297006145898
2024-10-05,0.00011292884814006548,0.0361036234126117
2024-10-06,0.00012463983148336373,0.0372715217991543
2024-10-07,0.0001236638032910408,0.0388641323224523
2024-10-08,0.0002518357085403997,
2024-10-09,0.0001460981210503128,0.041632168627323
2024-10-10,8.639103069719967e-05,0.0379126781168177
2024-10-11,0.0001054248488407452,0.0395593762882889
2024-10-12,0.00012854411340906962,0.044021401822675
2024-10-13,0.00015877630567613424,0.0488530852437606
2024-10-14,0.00016881046393578424,0.0499842245239071
2024-10-15,0.00013775714620557785,0.0412599952381144
2024-10-16,0.00023726295367607173,
2024-10-17,0.00019416576287371724,0.0494600604053623
2024-10-18,0.00026392760738987983,0.0520343977518922
2024-10-19,0.0003143454213246363,
2024-10-20,0.0001589855205318755,0.0481190344389011
2024-10-21,0.000233857743536217,0.0531944463671621
2024-10-22,0.00013442226071764472,
2024-10-23,0.00011503836723277158,0.0578196800429123
2024-10-24,0.00014154291032282903,0.0455694157892255
2024-10-25,0.0001362699292598127,
2024-10-26,0.00012858888658228785,
2024-10-27,0.00014166094068385332,
2024-10-28,0.00016954969687310118,
2024-10-29,0.00020700829682982665,0.0488363300144348
2024-10-30,0.0003302210534456995,0.0529357441004009
2024-10-31,8.037359381367394e-05,0.0423976631254143
2024-11-01,0.0001038446755380902,0.038676864225194
2024-11-02,0.0002736238656739011,0.0614857857997419
2024-11-03,0.00020427293598278992,0.0545664495962867
2024-11-04,0.00019376013687440552,0.0582972960578275
2024-11-05,0.0001847796499630956,0.0554394017374136
2024-11-06,0.0003581790181860288,0.0668524801731084
2024-11-07,0.0001367719835776952,0.06682304292917
2024-11-08,0.00013140662860776063,0.0605499756660425
